time_ns,master,dir,bytes,qos
60000,cpu,wr,4,4
160000,cpu,rd,4,4
192000,codec,wr,4,4
292000,codec,rd,4,4
324000,cpu,wr,4,10
344000,codec,wr,4,5
444000,cpu,rd,4,10
544000,codec,rd,4,5
1596000,cpu,wr,1024,8
2716000,cpu,rd,1024,8
2748000,cpu,wr,4,15
2892000,codec,rd,64,2
3176000,codec,wr,256,2
3336000,codec,rd,64,2
3620000,codec,wr,256,2
3780000,codec,rd,64,2
4064000,codec,wr,256,2
4224000,codec,rd,64,2
4508000,codec,wr,256,2
4668000,codec,rd,64,2
4952000,codec,wr,256,2
5112000,codec,rd,64,2
5396000,codec,wr,256,2
5556000,codec,rd,64,2
5840000,codec,wr,256,2
6000000,codec,rd,64,2
6284000,codec,wr,256,2
6444000,codec,rd,64,2
6728000,codec,wr,256,2
6888000,codec,rd,64,2
7172000,codec,wr,256,2
7332000,codec,rd,64,2
7616000,codec,wr,256,2
7776000,codec,rd,64,2
8060000,codec,wr,256,2
8220000,codec,rd,64,2
8504000,codec,wr,256,2
8664000,codec,rd,64,2
8948000,codec,wr,256,2
9108000,codec,rd,64,2
9392000,codec,wr,256,2
9552000,codec,rd,64,2
9836000,codec,wr,256,2
9996000,codec,rd,64,2
10280000,codec,wr,256,2
10440000,codec,rd,64,2
10724000,codec,wr,256,2
10884000,codec,rd,64,2
11168000,codec,wr,256,2
11328000,codec,rd,64,2
11612000,codec,wr,256,2
11644000,cpu,wr,4,15
11664000,codec,wr,4,0
11684000,cpu,wr,4,15
11716000,cpu,wr,4,15
11748000,cpu,wr,4,15
11780000,cpu,wr,4,15
11812000,cpu,wr,4,15
11844000,cpu,wr,4,15
11876000,cpu,wr,4,15
11908000,cpu,wr,4,15
11940000,cpu,wr,4,15
11972000,cpu,wr,4,15
12004000,cpu,wr,4,15
12036000,cpu,wr,4,15
12068000,cpu,wr,4,15
12100000,cpu,wr,4,15
12132000,cpu,wr,4,15
12164000,cpu,wr,4,15
12196000,cpu,wr,4,15
12228000,cpu,wr,4,15
12260000,cpu,wr,4,15
12292000,cpu,wr,4,15
12324000,cpu,wr,4,15
12356000,cpu,wr,4,15
12388000,cpu,wr,4,15
12420000,cpu,wr,4,15
12452000,cpu,wr,4,15
12484000,cpu,wr,4,15
12516000,cpu,wr,4,15
12548000,cpu,wr,4,15
12580000,cpu,wr,4,15
12612000,cpu,wr,4,15
12644000,cpu,wr,4,15
12676000,cpu,wr,4,15
12708000,cpu,wr,4,15
12740000,cpu,wr,4,15
12772000,cpu,wr,4,15
12804000,cpu,wr,4,15
12836000,cpu,wr,4,15
12868000,cpu,wr,4,15
12900000,cpu,wr,4,15
13000000,codec,rd,4,0
18132000,dma,wr,2048,9
18132000,dma,rd,2048,9
18484000,cpu,rd,256,9
18836000,cpu,rd,256,9
19188000,cpu,rd,256,9
19540000,cpu,rd,256,9
19892000,cpu,rd,256,9
20244000,cpu,rd,256,9
20596000,cpu,rd,256,9
20948000,cpu,rd,256,9
20984000,cpu,wr,4,8
21016000,cpu,wr,4,8
21048000,cpu,wr,4,8
21080000,cpu,wr,4,8
21112000,cpu,wr,4,8
21144000,cpu,wr,4,8
21176000,cpu,wr,4,8
21208000,cpu,wr,4,8
21240000,cpu,wr,4,8
21272000,cpu,wr,4,8
21304000,cpu,wr,4,8
21336000,cpu,wr,4,8
21368000,cpu,wr,4,8
21400000,cpu,wr,4,8
21432000,cpu,wr,4,8
21464000,cpu,wr,4,8
21496000,cpu,wr,4,8
21528000,cpu,wr,4,8
21560000,cpu,wr,4,8
21592000,cpu,wr,4,8
21624000,cpu,wr,4,8
21656000,cpu,wr,4,8
21688000,cpu,wr,4,8
21720000,cpu,wr,4,8
21752000,cpu,wr,4,8
21784000,cpu,wr,4,8
21816000,cpu,wr,4,8
21848000,cpu,wr,4,8
21880000,cpu,wr,4,8
21912000,cpu,wr,4,8
21944000,cpu,wr,4,8
21976000,cpu,wr,4,8
22628000,dma,wr,64,9
22628000,dma,rd,64,9
22728000,cpu,rd,4,9
22828000,cpu,rd,4,9
22928000,cpu,rd,4,9
23028000,cpu,rd,4,9
23072000,cpu,wr,4,10
23216000,codec,rd,64,6
23220000,cpu,wr,4,10
24576000,codec,wr,256,6
24596000,cpu,wr,4,10
24740000,codec,rd,64,6
25780000,cpu,wr,4,10
27136000,codec,wr,256,6
27156000,cpu,wr,4,10
27300000,codec,rd,64,6
28340000,cpu,wr,4,10
29696000,codec,wr,256,6
29716000,cpu,wr,4,10
29860000,codec,rd,64,6
30900000,cpu,wr,4,10
32256000,codec,wr,256,6
32276000,cpu,wr,4,10
32420000,codec,rd,64,6
33460000,cpu,wr,4,10
34816000,codec,wr,256,6
34836000,cpu,wr,4,10
34980000,codec,rd,64,6
36020000,cpu,wr,4,10
37376000,codec,wr,256,6
38556000,codec,rd,64,6
39916000,codec,wr,256,6
41096000,codec,rd,64,6
42456000,codec,wr,256,6
60844000,dma,wr,16320,12
60844000,dma,rd,16320,12
60844000,meta,bw_cycles,7560,0
60844000,meta,bw_bytes,16320,0
61176000,dma,wr,32,3
61176000,dma,rd,32,3
61508000,dma,wr,32,3
61508000,dma,rd,32,3
61608000,cpu,rd,4,3
61708000,cpu,rd,4,3
61740000,cpu,wr,4,2
61840000,cpu,rd,4,2
62892000,codec,wr,1024,11
64012000,codec,rd,1024,11
64044000,cpu,wr,4,8
