time_ns,master,dir,bytes,qos
56000,cpu,wr,4,4
152000,cpu,rd,4,4
180000,codec,wr,4,4
276000,codec,rd,4,4
304000,cpu,wr,4,10
324000,codec,wr,4,5
420000,cpu,rd,4,10
516000,codec,rd,4,5
1564000,cpu,wr,1024,8
2680000,cpu,rd,1024,8
2708000,cpu,wr,4,15
2852000,codec,rd,64,2
3132000,codec,wr,256,2
3288000,codec,rd,64,2
3568000,codec,wr,256,2
3724000,codec,rd,64,2
4004000,codec,wr,256,2
4160000,codec,rd,64,2
4440000,codec,wr,256,2
4596000,codec,rd,64,2
4876000,codec,wr,256,2
5032000,codec,rd,64,2
5312000,codec,wr,256,2
5468000,codec,rd,64,2
5748000,codec,wr,256,2
5904000,codec,rd,64,2
6184000,codec,wr,256,2
6340000,codec,rd,64,2
6620000,codec,wr,256,2
6776000,codec,rd,64,2
7056000,codec,wr,256,2
7212000,codec,rd,64,2
7492000,codec,wr,256,2
7648000,codec,rd,64,2
7928000,codec,wr,256,2
8084000,codec,rd,64,2
8364000,codec,wr,256,2
8520000,codec,rd,64,2
8800000,codec,wr,256,2
8956000,codec,rd,64,2
9236000,codec,wr,256,2
9392000,codec,rd,64,2
9672000,codec,wr,256,2
9828000,codec,rd,64,2
10108000,codec,wr,256,2
10264000,codec,rd,64,2
10544000,codec,wr,256,2
10700000,codec,rd,64,2
10980000,codec,wr,256,2
11136000,codec,rd,64,2
11416000,codec,wr,256,2
11444000,cpu,wr,4,15
11464000,codec,wr,4,0
11484000,cpu,wr,4,15
11512000,cpu,wr,4,15
11540000,cpu,wr,4,15
11568000,cpu,wr,4,15
11596000,cpu,wr,4,15
11624000,cpu,wr,4,15
11652000,cpu,wr,4,15
11680000,cpu,wr,4,15
11708000,cpu,wr,4,15
11736000,cpu,wr,4,15
11764000,cpu,wr,4,15
11792000,cpu,wr,4,15
11820000,cpu,wr,4,15
11848000,cpu,wr,4,15
11876000,cpu,wr,4,15
11904000,cpu,wr,4,15
11932000,cpu,wr,4,15
11960000,cpu,wr,4,15
11988000,cpu,wr,4,15
12016000,cpu,wr,4,15
12044000,cpu,wr,4,15
12072000,cpu,wr,4,15
12100000,cpu,wr,4,15
12128000,cpu,wr,4,15
12156000,cpu,wr,4,15
12184000,cpu,wr,4,15
12212000,cpu,wr,4,15
12240000,cpu,wr,4,15
12268000,cpu,wr,4,15
12296000,cpu,wr,4,15
12324000,cpu,wr,4,15
12352000,cpu,wr,4,15
12380000,cpu,wr,4,15
12408000,cpu,wr,4,15
12436000,cpu,wr,4,15
12464000,cpu,wr,4,15
12492000,cpu,wr,4,15
12520000,cpu,wr,4,15
12548000,cpu,wr,4,15
12644000,codec,rd,4,0
17712000,dma,wr,2048,9
17712000,dma,rd,2048,9
18060000,cpu,rd,256,9
18408000,cpu,rd,256,9
18756000,cpu,rd,256,9
19104000,cpu,rd,256,9
19452000,cpu,rd,256,9
19800000,cpu,rd,256,9
20148000,cpu,rd,256,9
20496000,cpu,rd,256,9
20528000,cpu,wr,4,8
20556000,cpu,wr,4,8
20584000,cpu,wr,4,8
20612000,cpu,wr,4,8
20640000,cpu,wr,4,8
20668000,cpu,wr,4,8
20696000,cpu,wr,4,8
20724000,cpu,wr,4,8
20752000,cpu,wr,4,8
20780000,cpu,wr,4,8
20808000,cpu,wr,4,8
20836000,cpu,wr,4,8
20864000,cpu,wr,4,8
20892000,cpu,wr,4,8
20920000,cpu,wr,4,8
20948000,cpu,wr,4,8
20976000,cpu,wr,4,8
21004000,cpu,wr,4,8
21032000,cpu,wr,4,8
21060000,cpu,wr,4,8
21088000,cpu,wr,4,8
21116000,cpu,wr,4,8
21144000,cpu,wr,4,8
21172000,cpu,wr,4,8
21200000,cpu,wr,4,8
21228000,cpu,wr,4,8
21256000,cpu,wr,4,8
21284000,cpu,wr,4,8
21312000,cpu,wr,4,8
21340000,cpu,wr,4,8
21368000,cpu,wr,4,8
21396000,cpu,wr,4,8
22016000,dma,wr,64,9
22016000,dma,rd,64,9
22112000,cpu,rd,4,9
22208000,cpu,rd,4,9
22304000,cpu,rd,4,9
22400000,cpu,rd,4,9
22440000,cpu,wr,4,10
22584000,codec,rd,64,6
22588000,cpu,wr,4,10
23944000,codec,wr,256,6
23964000,cpu,wr,4,10
24108000,codec,rd,64,6
25148000,cpu,wr,4,10
26504000,codec,wr,256,6
26524000,cpu,wr,4,10
26668000,codec,rd,64,6
27708000,cpu,wr,4,10
29064000,codec,wr,256,6
29084000,cpu,wr,4,10
29228000,codec,rd,64,6
30268000,cpu,wr,4,10
31624000,codec,wr,256,6
31644000,cpu,wr,4,10
31788000,codec,rd,64,6
32828000,cpu,wr,4,10
34184000,codec,wr,256,6
34204000,cpu,wr,4,10
34348000,codec,rd,64,6
35388000,cpu,wr,4,10
36744000,codec,wr,256,6
37924000,codec,rd,64,6
39284000,codec,wr,256,6
40464000,codec,rd,64,6
41824000,codec,wr,256,6
60148000,dma,wr,16320,12
60148000,dma,rd,16320,12
60148000,meta,bw_cycles,7547,0
60148000,meta,bw_bytes,16320,0
60464000,dma,wr,32,3
60464000,dma,rd,32,3
60780000,dma,wr,32,3
60780000,dma,rd,32,3
60876000,cpu,rd,4,3
60972000,cpu,rd,4,3
61000000,cpu,wr,4,2
61096000,cpu,rd,4,2
62144000,codec,wr,1024,11
63260000,codec,rd,1024,11
63288000,cpu,wr,4,8
